rank,kanji,onyomi,kunyomi,meaning,labels,notes,example_1,example_2
1,会,kai カイ,a(u) あ(う),meeting; meet,jlpt_n4,,"会社は明日まで休みです。
kaisha wa ashita made yasumi desu.
The company is closed until tomorrow.","先週はおばあちゃんに会いに行った。
senshuu wa obaachan ni ai ni itta.
I went to visit my grandmother last week."
2,同,dou ドウ,onaji おな(じ),"same, agree, equal",jlpt_n4,,"私も同じです！
watashi mo onaji desu!
Me too!","私も同じカバンをもっています。
watashi mo onaji kaban o motteimasu.
I have the same bag!"
3,事,ji ジ,koto こと,"matter, thing, fact, business, reason, possibly",jlpt_n4,,"あなたの仕事は何ですか？
anata no shigoto wa nan desu ka?
What is your job?","昨日、事故がありました。
kinou, jiko ga arimashita.
There was an accident yesterday."
4,自,"ji, shi ジ、 シ",mizuka(ra) みずか(ら),oneself,jlpt_n4,,,
5,社,sha シャ,yashiro やしろ,"company, firm, office, association, shrine",jlpt_n4,,,
6,発,"hatsu, hotsu ハツ、 ホツ",,"departure, discharge, emit, start from",jlpt_n4,,"ある日、私はそれを発見しました。
aru hi, watashi wa sore o hakken shimashita.
I discovered that one day.","新しい作品を発表したいと思います。
atarashii sakuhin o happyou shitai to omoimasu.
I would like to announce the new product."
7,者,sha シャ,mono もの,"someone, person",jlpt_n4,,"あなたのお父さんは歯医者でしたよね？
anata no otousan wa ha'isha deshita yone.
Your father was a dentist right?","その小説の作者は誰ですか。
sono shousetsu no sakusha wa dare desu ka.
Who is the author of that novel?"
8,地,"chi, ji チ、 ジ",,"ground, earth",jlpt_n4,,"この地図は分かりにくい。
kono chizu wa wakarinikui.
This map is difficult to understand.","毎日、地下鉄を乗ります。
mainichi, chikatetsu o norimasu.
I ride the subway everyday."
9,業,gyou ギョウ,waza わざ,"business, vocation, arts, performance",jlpt_n4,,,
10,方,hou ホウ,kata かた,"direction, person, alternative",jlpt_n4,,"あなたの考え方は正しいです。
anata no kangaekata wa tadashii desu.
Your way of thinking is correct.","もっと簡単な方法を教えてあげる。
motto kantan na houhou o oshiete ageru.
I'l teach you a simpler way to do do that."
