japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
間(aida),while; during; between ~,"Meaning 意味 while; during; between ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (dictionary form) 間 Noun + の Related Kanji 漢字 N5 Kanji: 間 (kan, aida) interval, space",jlpt_n4,"昨日は、家にいる間、ずっとテレビを見ていました。
kinou wa, ie ni iru aida, zutto terebi o miteimashita.
Yesterday, while I was home I watched TV the entire time.","日本にいる間は、毎日日本語を話すつもりです。
nihon ni iru aida wa, mainichi nihongo o hanasu tsumori desu.
I plan to speak Japanese everyday while I am in Japan.","サイクリングをしている間、ずっと雨が降っていました。
saikuringu o shiteiru aida, zutto ame ga futteimashita.
It rained the entire time I was cycling.","食事の間、彼女と一緒に映画を見ました。
shokuji no aida, kanojo to isshoni eiga o mimashita.
While eating dinner, I watched a movie together with my girlfriend.","学校にいる間は、スマホを使ってはいけません。
gakkou ni iru aida wa, sumaho o tsukatte wa ikemasen.
We can't use our smartphones while in school."
間に(aida ni),while; during~ something happened,"Meaning 意味 while; during~ something happened
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 Verb (casual, non-past) 間に Noun + の な-adjective + な い-adjective Related Kanji 漢字 N5 Kanji: 間 (kan, aida) interval, space",jlpt_n4,"夜の間に火事が起こった。
yoru no aida ni kaji ga okotta.
A fire broke out during the night.","知らない間に寝ていた。
shiranai aida ni neteita.
I fell asleep before I even realized it.","日本にいる間に、日本語が上手になりたいです。
nihon ni iru aida ni, nihongo ga jouzu ni naritai desu.
I want to get good at Japanese while I'm in Japan.","休みの間に漢字を200個覚えた。
yasumi no aida ni kanji o ni hyaku ko oboeta.
I memorized 200 kanji over the break.","先生がいない間にスマホを見ていた。
sensei ga inai aida ni, sumaho o miteita.
I looked at my smartphone while the teacher was gone."
あまり～ない(amari~nai),"not very, not much ~","Meaning 意味 not very, not much ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～ない , Japanese adverbs , negative expressions
How to use 使い方 あまり い-adjective + い くない な-adjective + な じゃない Verb (ない form)",jlpt_n4,"私はあまり運動しない。
watashi wa amari undou shinai.
I don't really exercise.","日本語があまり分からない。
nihongo ga amari wakaranai.
I don't really understand Japanese.","ホラー映画はあまり見ない。
horaa eiga wa amari minai
I don't really watch horror movies.","彼はあまり速く走ることができない。
kare wa amari hayaku hashiru koto ga dekinai.
He can't run very fast.","この文法があまり分かりません。教えてください。
kono bunpo ga amari wakarimasen. Oshiete kudasai.
I don't understand this grammar very well, could you please explain it to me?"
後で(ato de),after~; later,"Meaning 意味 after~; later
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 Verb (た form) 後で あとで Noun + の Related Kanji 漢字 N5 Kanji: 後 (go, ato) behind, later",jlpt_n4,"図書館で宿題をしたあとで、帰ります。
toshokan de shukudai o shita ato de, kaerimasu.
I will head home after I finish my homework at the library.","晩ご飯の後でアイスを食べた。
bangohan no ato de aisu o tabeta
After dinner, I had some ice cream.","授業が終わった後で、部活に行く。
jugyou ga owatta ato de, bukatsu ni iku.
After classes finish, I will go to my club activities.","お酒を飲んだ後で、運転してはダメですよ！
osake o nonda ato de, unten shitewa dame desu yo.
Driving after drinking is not permitted.","昼ご飯を食べた後で、30分ほど昼寝をした。
hiru gohan o tabeta ato de, sanjuu pun hodo hirune o shita.
After eating dinner, I took a nap for about a half hour."
ば(ba),conditional form; If [A] then [B],"Meaning 意味 conditional form; If [A] then [B]
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles , ば conditional form
How to use 使い方 special formatting rules (see below)",jlpt_n4,"このボタンを押せば、ドアが開きます。
kono botan o oseba, doa ga hirakimasu.
If you push this button, the door will open.","あなたが行けば、わたしも行くよ。
anata ga ikeba, watashi mo iku yo.
If you go, then I'm going too.","今すぐ出発すれば間に合うでしょう。
ima sugu shuppatsu sureba ma ni au deshou.
If you leave right away, you'll likely make it in time.","毎日練習をすれば、上手になるよ。
mainichi renshuu o sureba, jouzu ni naru yo.
If you practice everyday, you're going to improve!","数週間もすれば、みんな忘れるよ。
suushuukan mo sureba, minna wasureru yo.
Everyone will forget this in a few weeks."
場合は(baai wa),in the event of; in the case that ~,"Meaning 意味 in the event of; in the case that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (casual) 場合は ばあいは Noun + の な-adjective + な い-adjective Related Kanji 漢字 N4 Kanji: 場 (jou, ba) location N3 Kanji: 合 (gou, au) fit",jlpt_n4,"パスワードを忘れた場合は、こちらからご連絡ください。
pasuwaado o wasureta baai wa, kochira kara gorenraku kudasai.
If you forget your password, please contact us here.","火事の場合は、119をかけます。
kaji no baai wa, 119 o kakemasu.
In the event of a fire, call 119.","地震が起きた場合は、テーブルの下に潜ってください。
jishin ga okita baai wa, teeburu no shita ni mogutte kudasai.
In the case of an earthquake, cover yourself under a table.","避難する場合は、車を使わないで必ず歩きます。
hinan suru baai wa, kuruma o tsukawanaide kanarazu arukimasu.
In an evacuation, make sure to walk instead of use your car.","授業に間に合わない場合は、連絡してください。
jugyou ni ma ni awanai baai wa, renraku shite kudasai.
In the case that you will not make it to class on time, please contact us."
ばかり(bakari),only; nothing but ~,"Meaning 意味 only; nothing but ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles , ばかり expressions
How to use 使い方 Noun ばかり Verb (て form)",jlpt_n4,"娘はテレビばかり見ている。
musume wa terebi bakari miteiru.
My daughter does nothing but watch TV.","彼はお金ばかり考えている。
kare wa o kane bakari kangaiteiru.
He only thinks about money.","甘いものばかり食べると太ります。
amaimono bakari taberu to futorimasu.
If you just eat sweets you're gonna gain weight.","嘘ばかりつく人が嫌いだ。
uso bakari tsuku hito ga kirai da.
I hate people who always lie.","得るものはなく、失うものばかりだ。
eru mono wa naku, ushinau mono bakari da.
You have nothing to gain, but everything to lose."
だけで(dake de),just by; just by doing,"Meaning 意味 just by; just by doing
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (casual) だけで Noun",jlpt_n4,"あなたに会うだけで元気になる。
anata ni au dake de genki ni naru.
I get energetic from just meeting you.","あなたの写真を見るだけでうれしい。
anata no shashin o miru dake de ureshii.
I'm happy to just see your picture.","宿題のことを考えるだけでやる気がなくなります。
shukudai no koto o kangaeru dake de yaruki ga naku narimasu.
Just by thinking of my homework I start to lose motivation.","二人だけで少し話がしたい。
futari dake de sukoshi hanashi ga shitai.
I want to talk together just the two of us.","彼女のことを思うだけでドキドキする。
kanojo no koto o omou dake de doki doki suru.
I get worked up just thinking about her."
出す(dasu),"to begin to; to start to; to burst into; ... out (e.g. to jump out, to carry out)​","Meaning 意味 to begin to; to start to; to burst into; ... out (e.g. to jump out, to carry out)​
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 出す だす Related Kanji 漢字 N5 Kanji: 出 (shutsu, deru) exit",jlpt_n4,"雨が急に降り出した。
ame ga kyuu ni furi dashita.
It suddenly started raining.","彼は店から飛び出した。
kare wa mise kara tobi dashita.
He dashed out of the store.","校長室へ呼び出された。
kouchoushitsu e yobi dasareta.
I was called into the principal's office.","それを運び出してくれますか。
sore o hakobi dashite kuremasu ka?
Would you please carry that out for me?","朝食後すぐに飛び出した。
choushoku go sugu ni tobi dashita.
I dashed out right after breakfast."
でも(demo),... or something; how about~,"Meaning 意味 ... or something; how about~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Noun でも",jlpt_n4,"水でも飲みますか？
mizu demo nomimasu ka?
Would you care for some water or something to drink?","牛丼でもしましょうか？
gyuudon demo shimashou ka?
Shall we go with something like the beef bowl?","寒いから、暖かいものでも飲みませんか。
samui kara, atatakai mono demo nomimasen ka.
It's a bit cold so why don't we get something warm to drink?","晩ご飯ならサラダでも作りましょうか？
bangohan nara sarada demo tsukuri mashouka?
Should I make a salad for dinner?","ちょっと時間があるからゲームでもしましょうか？
chotto jikan ga aru kara geemu demo shimashou ka？
We have a little time, let’s play games or something？"
