rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,notes,example_1,example_2,example_3
1,明け方,あけがた,akegata,"Noun, Adverbial Noun",dawn,jlpt_n2,,"明け方に寒かったので毛布をもう枚掛けた

It was cold at dawn, so I put on another blanket.","いた。

The snow continued to fall steadily from midnight to dawn, and when I woke up in the morning, the snow in the yard was one meter high.","僕らは明け方に起きるために早く寝た

We hit the hay early in order to get up at dawn."
2,青白い,あおじろい,aojiroi,"Adjective, い-adjective",pale; bluish-white,jlpt_n2,,"青白くて暗い顔をした人物だった

He was a dark figure with a pale face.","いた。

When I went to the hospital for the first time in ages to visit my sick younger brother, he was lying in bed, looking thin and pale.","人々が夕方工場から出てきたときその顔は青白く病気みたいでした

When people came out of the factory in the evening, their faces looked white and ill."
3,足跡,あしあと,ashiato,Noun,footprints,jlpt_n2,,"足跡は川まで続いていた

The footprints continued down to the river.","足跡が床に残っていた

Footprints were left on the floor.","私達は犯人の足跡をたどっていった

We followed the tracks of the criminal."
4,売買,ばいばい,baibai,"Noun, Verb, Suru verb",trade; buying and selling,jlpt_n2,,"要因であろう。

In recent years, it has become possible to buy and sell goods between individuals via smartphone-based flea market and auction applications. The main reason for the spread of this service probably arises from the measures taken to prevent problems related to the receipt of payment.","土地評価額5種類売買用税額算出用異なる

There are five different types of land appraisal values. and the values vary depending on the intended use, such as for sales or tax calculation purposes.","彼は彼らと家具の売買契約をした

He made a bargain with them about the furniture."
5,売店,ばいてん,baiten,Noun,stand; stall; booth; kiosk; store,jlpt_n2,,"と考えるところも出てきた。

Some local retailers have begun to think about the way to coexist and prosper with the giant, mass merchandisers, rather than just blindly competing with them.","であった。それに

In 2016, Tokyo ranked fifth in the nation for the number of large retail stores per 100,000 people. In comparison, the number of department stores per 100,000 population there was ranked lower, at 40th in Japan.","零細小売店などは新年度には利益を上げるでしょう

Mom-and-pop stores will turn a profit in the new fiscal year."
6,募集,ぼしゅう,boshuu,"Noun, Verb, Suru verb",recruitment; invitation; taking applications; solicitation,jlpt_n2,,"で応募する人は誰もいないようだ。

Applications for exchange students will open on campus next month, but no one around me seems to be applying.","で教育活動を支援するボランティアの募集を始めた。

The city has begun recruiting volunteers with teaching experience or teaching licenses to assist with educational activities at elementary and junior high schools in the city.","行う事前希望者多数抽選行う

When a studio recording of a TV program is open to the public, applicants for the audience are invited in advance, and if there are too many applicants, a lottery will be held."
7,長男,ちょうなん,chounan,Noun,eldest son; first-born son,jlpt_n2,,"カメラを購入することにした。

With the birth of our first son, my wife and I decided to purchase a state-of-the-art single lens reflex camera.","に合格した。

My eldest son was accepted to his first-choice national university last year.","ばかり言っている。

My eldest son is funny and cheerful, but he gets easily carried away when he is given the slightest encouragement. He is always joking and making irresponsible comments. In a nutshell, he is a “goofball.”"
8,楕円,だえん,daen,Noun,ellipse,jlpt_n2,,"シリウスを回る軌道は楕円形である

The orbit around Sirius is elliptical.",,
9,大学院,だいがくいん,daigakuin,Noun,graduate school,jlpt_n2,,"がおろそかになりがちだ。

When graduate students are encouraged to disseminate research results to society and to collaborate with companies, the more inexperienced students tend to get carried away and neglect the basics.","の大学院生が集まり、日本近代文学研究会を作った。会員は現在

Graduate students from nearby areas got together to establish the Society for the Study of Modern Japanese Literature. The group currently has 20 members and holds monthly study sessions.","ながら、いくつかの大学の研究室と協同して、共同研究開発プロジェクトを推進している。

While working for a company after finishing graduate school, my older brother, has been collaborating with several university laboratories to promote joint academic-industrial collaborative R&D projects."
10,出入口,でいりぐち,deiriguchi,Noun,exit and entrance,jlpt_n2,,,,
11,宴会,えんかい,enkai,Noun,party; banquet; reception; feast; dinner,jlpt_n2,,"彼らはその著名な科学者に敬意を表して宴会を催した

They held a party in honor of the famous scientist.","彼は宴会の事について触れた

He mentioned the matter of the banquet.","客のうちの何人かが宴会場を出て行くのが見えた

I saw some of the guests leave the banquet room."
12,円周,えんしゅう,enshuu,Noun,circumference,jlpt_n2,,,,
13,遠足,えんそく,ensoku,"Noun, Verb, Suru verb",excursion; outing; trip,jlpt_n2,,"の天気で残念だった。

I was so looking forward to the school trip, but the weather was not so good, it was cloudy all day, so it was disappointing.","明日雨が降れば遠足はありません

If it rains tomorrow, there will be no excursion.","全体として遠足は楽しかった

All in all, the excursion was pleasant."
14,父母,ふぼ,fubo,Noun,father and mother; parents,jlpt_n2,,"をする。

This March 3 is the first Girls’ Festival since my daughter was born, so I will invite grandparents from both sides of the family to celebrate her first Girls’ Festival.","だった。

I went back home to the countryside during the consecutive holidays and helped my grandparents pick tea; picking fresh tea leaves by hand turned out to be more arduous than I had expected.","がいる。

I have an acquaintance who spends the summer using only an electric fan. I wonder how he manages to survive without having the air conditioner on when the temperature is 35 degrees Celsius, and the humidity is consistently over 80%."
15,学科,がっか,gakka,Noun,study subject; course of study​; department,jlpt_n2,,"物理は私の苦手な学科です

Physics is my weak subject.","哲学はあなたが想像するほど難しい学科ではない

Philosophy is not so difficult a subject as you imagine.","哲学はあなたがたが考えているほど難しい学科ではない

Philosophy is not so difficult a subject as you imagine it is."
16,学会,がっかい,gakkai,Noun,scientific society; academic meeting; academic conference,jlpt_n2,,"後質疑応答質問者質問主旨返答困った

During the question-and-answer session after the conference presentation, I had trouble answering questions from a member of the audience because I did not understand the purpose and intent of the questions.","となった。

The Association for Japanese Language Education holds two conferences each year, one in the spring and one in the fall. Like many other academic societies, both the spring and fall conferences were held entirely online in the 2021 academic year due to concern over the spread of the infectious disease.","教授は化学学会で司会を務めた

Professor Morita presided at a meeting of the Chemical Society."
17,学力,がくりょく,gakuryoku,Noun,scholarly ability; scholarship; knowledge; literary ability,jlpt_n2,,"寮部屋後日捨て方生じた

A problem arose in the dormitory regarding noise in a room; it was resolved through discussion, but before we knew it, another problem had arisen over the disposal of garbage.","諦めた

I had planned to study abroad when I enrolled in university, but I gave up the plan because I did not have adequate language skills.","されている。

As schools remain closed due to the novel coronavirus (SARS-CoV-2), there is concern that adequate instruction will not be provided, and a disparity in academic attainment among the children will develop."
18,外科,げか,geka,Noun,surgery; department of surgery,jlpt_n2,,"ができないようになっている。

The lights used in an operating room are called shadowless lamps, which means that no shadows are cast when a hand or medical instrument is held up under the light.","ならない。

On the day of surgery the patient must refrain from drinking alcohol in order to prevent alcohol-induced inflammation and internal bleeding.","父は熟練した外科医です

My father is an expert surgeon."
19,花火,はなび,hanabi,Noun,fireworks,jlpt_n2,,"花火大会数えきれない花火夏夜空彩った

One of the largest fireworks festivals in Japan was held, and countless fireworks beautifully lit up the summer night sky.","いる。

Fireworks launched into the night sky are reflecting off the surface of the river with glittering sparkles.","だ。

Pistol-shaped handheld fireworks are especially popular among boys because of their design, with sparks shooting out of the muzzle."
20,半径,はんけい,hankei,Noun,radius,jlpt_n2,,"が届きにくくなっていく。

As children grow up, their world expands, making it harder for their parents to oversee their activities.","になる。

If we double the radius of the circle, the area of the circle becomes quadrupled.","とした。

Police prohibited the entrance into the area within a one-kilometer radius from the chemical plant where the fire broke out."
21,半島,はんとう,hantou,Noun,peninsula,jlpt_n2,,"に位置していることがわかる。

If you look at the map, you will see that this town is located just around the entrance to the peninsula.","と呼ばれる国はいつの時代にもある。

Throughout history, there have always been countries referred to as powerful countries.  Before the Common Era, for example, the Roman Empire was one such example. At its peak, its territory extended over Asia Minor, the Iberian Peninsula, the Mediterranean coast of Africa, and even Britain.","僕はこの夏休みに数人の友達と半島を歩いて一周するのを楽しみにしています

I am looking forward to walking around the Izu Peninsula with some of my friends during summer vacation."
22,発売,はつばい,hatsubai,"Noun, Verb, Suru verb",sale; release (for sale); launch (product),jlpt_n2,,"にかけて急増した。

The first smartphone was introduced in the U.S. in 2007. The number of smartphone users in Japan surged between 2010 and 2015.","のことだ。

Our family moved into a condominium in front of the station about two months ago.","までには時間がかかる。

It takes time for a new product to sell and become established. Even Windows, which is now used by consumers all over the world, did not sell at all when it was first released."
23,早口,はやぐち,hayaguchi,Noun,fast-talking; rapid talking,jlpt_n2,,"彼女は早口で話す傾向が多い

She tends to speak rapidly.","彼女は早口でまくしたてて人をまるめこみます

She talks a very fast game.","彼女は比較的早口だ

She speaks relatively fast."
24,外れる,はずれる,hazureru,"Verb, Ichidan verb, Intransitive verb",to be disconnected; to be off; to miss the mark,jlpt_n2,,"しまったので修理に出した。

I hit the diamond ring my mother gave me so hard that the diamond fell out, so I sent it in for repair.","窓は壊されてよろいどははずれてななめに下がっていました

Her windows were broken and her shutters hung crookedly.","車はコースをはずれた

The car veered from its course."
25,閉会,へいかい,heikai,"Verb, Suru verb","closure (of a ceremony, event, meeting, etc.)",jlpt_n2,,"誰もそれ以上言わなかったので閉会した

Nobody having any more to say, the meeting was closed.","閉会した

The meeting was closed.","国会は閉会して夏休みに入った

The Diet rose for summer recess."
26,昼寝,ひるね,hirune,"Noun, Verb, Suru verb","nap, siesta",jlpt_n2,,"が取れて、そのあとの仕事がはかどる。

After lunch, closing my eyes and taking a nap, even for just five minutes, helps remove the cobwebs from my eyes and get more work done afterwards.","私はよく日曜日に昼寝をしたものだった

I would often take naps on Sundays.","すぐに諦めて昼寝をするかも知れない

I may give up soon and just nap instead."
