japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
敢えて(aete),dare to; daringly; deliberately; purposely ~,"Meaning 意味 dare to; daringly; deliberately; purposely ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 あえて clause Related Kanji 漢字 N1 Kanji: 敢 (kan, a(ete)) Meaning: daring, brave, bold, sad, tragic, pitiful",jlpt_n1,,"彼はあえて一人で行く気ですか。
kare wa aete hitori de iku kidesu ka.
Dare he go alone?","私はあえて彼女に忠告した。
watashi wa aete kanojo ni chuukoku shita.
I ran a risk of advising her.","あえて彼の意見を支持した。
aete kare no iken o shiji shita.
I dared to support his opinion.","私は、あえて彼に電話をしない。
watashi wa, aete kare ni denwa o shinai.
I don't dare call him.","その時彼女はあえて何も言わなかった。
sono toki kanojo wa aete nanimo iwanakatta.
At that time, she didn't dare say anything."
あくまでも(akumade mo),to the end; persistently; absolutely; is still very ~,"Meaning 意味 to the end; persistently; absolutely; is still very ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 あくまでも clause",jlpt_n1,,"空はあくまでも青い。
sora wa akumade mo aoi.
The sky is as blue as blue can be.","私はあくまでも彼女を見つけるつもりです。
watashi wa akumademo kanojo o mitsukeru tsumori desu.
I will definitely find her.","このスケジュールはあくまでも予定です。
kono sukejuuru wa akumademo yotei desu.
This schedule is still just a plan.","我々はあくまでも戦い抜く決心をした。
wareware wa akumademo tatakai nuku kesshin o shita.
We have made up our minds to fight it out.","この仕事はあくまでも一時的で、永遠にここに働くつもりはない。
kono shigoto wa akumademo ichijiteki de, eien ni koko ni hataraku tsumori wa nai.
This job is only temporary and I'm not going to work here forever."
案の定(an no jou),just as one thought; as usual; sure enough,"Meaning 意味 just as one thought; as usual; sure enough
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 案の定 phrase Related Kanji 漢字 N2 Kanji: 案 (an) Meaning: plan, suggestion, draft N3 Kanji: 定 (tei, jou, sadameru) Meaning: determine",jlpt_n1,,"案の定、結果がよくないだ。
an no jou, kekka ga yokunai da.
As might be expected, the results are poor.","案の定、彼は第一位になった。
an no jou, kare wa daiichii ni natta.
As was to be expected, he took first place.","あの堤防は、案の定今回の台風で決壊してしまった。
ano teibou wa, an no jou konkai no taifuu de kekkai shite shimatta.
Just as we thought, that embankment collapsed because of the typhoon.","急行は案の定混んでいて席がなかった。
kyuukou wa an no jou konde ite seki ga nakatta.
Just as I had feared, the express train was very crowded and I couldn't get a seat.","案の定、レポートの提出の締め切りに間に合わなかった。
an no jou, repooto no teishutsu no shimekiri ni ma ni awanakatta.
Sure enough, I missed the deadline for submitting the report."
あらかじめ(arakajime),beforehand; in advance; previously​,"Meaning 意味 beforehand; in advance; previously​
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 あらかじめ Verb",jlpt_n1,,"あらかじめ教科書を読んでください。
arakajime kyoukasho o yonde kudasai.
Please read the textbook in advance.","私たちはあらかじめスナックを用意しておきました。
watashi tachi wa arakajime sunakku o youi shite okimashita.
We have prepared snacks in advance.","僕は逃げ道をあらかじめ探しました。
boku wa nigemichi o arakajime sagashimashita.
I searched for an escape route in advance.","私はその資料をあらかじめ印刷して持参します。
watashi wa sono shiryou o arakajime insatsu shite jisan shimasu.
I will print that document beforehand and bring it with me.","私たちはそれをあらかじめ考慮しておく必要がある。
watashi tachi wa sore o arakajime kouryo shite oku hitsuyou ga aru.
We need to take that into account in advance."
あっての(atte no),which can exist solely due to the presence of; which owes everything to,"Meaning 意味 which can exist solely due to the presence of; which owes everything to
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun-1 あっての Noun-2",jlpt_n1,,"健康な体あっての人生です。
kenkou na karada atte no jinsei desu.
Life is dependent on having a healthy body.","お客様あっての仕事だから、言葉遣いに気を付けてください。
okyaku sama atte no shigoto dakara, kotobadzukai ni ki o tsukete kudasai.
Please be careful of the language you use around our customers since they are essential for our business.","私の幸せは家族あってのものだ。みんな病気をせず元気でいてほしい。
watashi no shiawase wa kazoku atte no mono da. minna byouki o sezu genki de ite hoshii.
My happiness comes from my family. I wish everyone is able to live healthily without sickness.","健康あっての人生だ。不健康なものを食べないように頑張りましょう！
kenkou atte no jinsei da. fukenkou na mono o tabenai youni ganbarimashou.
Our health is essential for our lives. Let's do our best to avoid eating unhealthy foods.","学生あっての学校ですから、いくら設備が良くても、素晴らしい先生がいても、学生が来なければ意味がない。
gakusei atte no gakkou desu kara, ikura setsubi ga yokutemo, subarashii sensei ga itemo, gakusei ga konakereba imi ga nai.
The school depends on the students, so no matter how good the facilities are, even if there are wonderful teachers, it doesn't make sense if students don't come."
ばそれまでだ / たらそれまでだ(ba sore made da / tara sore made da),if… then it’s over,"Meaning 意味 if… then it’s over
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (conditional) ば / たら それまでだ",jlpt_n1,,"いくらお金をためでも、死んでしまえばそれまでだ。
ikura okane o tame demo, shinde shimaeba sore made da.
Even if you make a lot of money, it's pointless if you die.","どんなに大変でも諦めたらそれまでだ。
donnani taihen demo akirametara sore made da.
No matter how hard it may be, once you give up, it's all over.","いくら参考書を買っても、使わなければそれまでだ。
ikura sankousho o katte mo, tsukawanakereba sore made da.
No matter how many reference books you buy, if you don't use them they are meaningless.","一生懸命勉強しても、試験の日に風邪を引いたらそれまでだ。
isshoukenmei benkyou shite mo, shiken no hi ni kaze o hiitara sore made da.
Even if you study hard, if you catch a cold on the day of the exam, then it's over.","ハードディスクに写真を保存しておいても、ハードディクスが壊れてしまえばそれまでだ。
haadodisuku ni shashin o hozon shite oite mo, haadodisuku ga kowarete shimaeba sore made da.
Even if you save your photos on a hard disk, they will all be gone if the hard disc breaks."
べく(beku),in order to; for the purpose of ~,"Meaning 意味 in order to; for the purpose of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (dictionary form) べく Exception: する するべく すべく",jlpt_n1,,"JLPT N1に合格すべく、毎日頑張って勉強しています。
JLPT N1にごうかくすべく、まいにちがんばってべんきょうしています。
JLPT N1 ni goukaku subeku, mainichi ganbatte benkyou shite imasu.","親の期待に応えるべく、努力して医者の道に進んだ。
oya no kitai ni kotaeru beku, doryoku shite isha no michi ni susunda.
I made an effort to meet the expectations of my parents and went on to become a doctor.","彼は良い席を手に入れるべく、2時間も前から並んでいた。
kare wa yoi seki o te ni ireru beku, 2 jikan mo mae kara narande ita.
He had been in line for two hours to get a good seat.","人手不足という問題を解決すべく、社内で緊急会議が開かれた。
hitodebusoku toiu mondai o kaiketsu subeku, shanai de kinkyuu kaigi ga akareta.
An emergency meeting was held in-house to solve the problem of labor shortage.","彼は一日も早く借金を返すべく、必死で働いている。
kare wa ichinichi mo hayaku shakkin o kaesu beku, hisshi de hataraite iru.
He is working hard to pay off his debt as soon as possible."
べくもない(beku mo nai),cannot possibly be ~,"Meaning 意味 cannot possibly be ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) べくもない Exception: する するべくもない すべくもない",jlpt_n1,,"彼は勉強をせずに毎日遊んでばかりいた。N１合格は望むべくもない。
kare wa benkyou o sezu ni mainichi asonde bakari ita. N1 goukaku o nozomu beku mo nai.
He just played every day without studying. There is no hope of passing N1.","祖父の病状は悪くなるばかりだ。回復はもう望むべくもない。
sofu no byoujou wa waruku naru bakari da. Kaifuku wa mou nozomubeku mo nai.
My grandfather's condition is only getting worse. There is no hope for recovery anymore.","すでに5点も差があるので、この試合に勝つのは望むべくもない。
sudeni 5 ten mo sa ga aru node, kono shiai ni katsu nowa nozomu beku mo nai.
There is already a difference of 5 points, so I can't hope to win this match.","東京生まれと育ちの彼には、田舎暮らしの大変さなど知るべくもない。
toukyou umare to sodachi no kare ni wa, inakakurashi no taihensa nado shirubeku mo nai.
Born and raised in Tokyo, he doesn't know how difficult life in the countryside is.","プロとは比べるべくもないですが、彼の歌のうまさは学校の一番だと思います。
puro to wa kuraberubeku mo nai desu ga, kare no uta no umasa wa gakkou no ichiban da to omoimasu.
It's hard to compare with a professional, but I think his singing is the best at school."
ぶり / っぷり(buri / ppuri),style; manner; way​,"Meaning 意味 style; manner; way​
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: suffix
How to use 使い方 Verb (ます stem) + ます ぶり っぷり Noun",jlpt_n1,,"先生はその生徒のがんばりぶりを見ていた。
sensei wa sono seito no ganbari buri o mite ita.
The teacher has been observing how hard that student has been trying.","社長の話しぶり、今年のバーナスはないようだ。
shachou no hanashi buri dewa, kotoshi no boonasu wa nai you da.
From the way the director talks, there will probably be no bonus this year.","先輩の仕事ぶりを見ながら要領を覚えよう。
senpai no shigoto buri o mi nagara youryou o oboeyou.
Please watch how seniors work and remember the operations.","彼の生活ぶりを見ていると、将来が心配になる。
kare no seikatsu buri o mite iru to, shourai ga shinpai ni naru.
Looking at his life, I'm worried about his future.","父は、英語で話しかけられただけですごい慌てぶりだった。
chichi wa, eigo de hanashi kakerareta dake de sugoi awate buri datta.
My father got all panicked just because someone spoke to him in English."
ぶる / ぶって / ぶった(buru / butte / butta),assuming the air of; behaving like; to pretend / act like ~,"Meaning 意味 assuming the air of; behaving like; to pretend / act like ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: suffix
How to use 使い方 Noun ぶる ぶって ぶった ぶっちゃって な-adjective い-adjective + い",jlpt_n1,,"彼は金持ちぶっているが、本当は借金がたくさんある。
kare wa kanemochi butte iru ga, hontou wa shakkin ga takusan aru.
Though he pretends to be rich, in reality he is in serious debt.","親切ぶって近づいてくる人には気を付けてください。
shinsetsu butte chikadzuite kuru hito ni wa ki o tsukete kudasai.
Be careful of people who approach you and pretend to be nice.","まだまだ子供のくせに大人ぶっちゃって、どうしたの？
mada mada kodomo no kuse ni otona bucchatte, doushita no?
Even though you're still a child, you're pretending to be an adult. What's wrong?","若者ぶって薄着などするから風邪をひくんですよ。
wakamono butte usugi nado suru kara kaze o hikun desu yo.
You keep acting like you're still young and wearing thin clothes so that's why you catch a cold.","息子は悪ぶっているが、実は気の弱い優しい子です。
musuko wa waru butte iru ga, jitsu wa ki no yowai yasashii ko desu.
My son acts tough, but he is actually quite weak and gentle."
